#
# Props for the dungeon.
#
# vim: nowrap colorcolumn=0
#

# Tools props
""                     	 "hammer"               	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Tools
""                     	 "woven belt"           	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Wearables
""                     	 "undergarment"         	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Wearables
""                     	 "undershirt"           	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Wearables
""                     	 "wool sock"            	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Wearables

# Potion props
"empty_bottle"         	 "empty bottle"         	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Bottles
"kombucha"             	 "kombucha"             	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Bottles
"fruit_kombucha"       	 "passionfruit kombucha"	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Bottles
""                     	 "kefir"                	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Bottles
""                     	 "sanitisation potion"  	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Bottles
""                     	 "fermentation potion"  	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Bottles
""                     	 "caffeination potion"  	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Bottles
""                     	 "porridge potion"      	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Bottles
""                     	 "beer can"             	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Bottles

# Weapon props
""                     	 "shock prod"           	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Weapons
""                     	 "wooden club"          	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Weapons
""                     	 "bludgeon"             	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Weapons
""                     	 "cosh"                 	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Weapons
""                     	 "broken sword"         	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Weapons
""                     	 "shattered mace"       	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Weapons
""                     	 "blunt knife"          	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Weapons
# double/triple sword is a nod to DCSS
""                     	 "triple sword"         	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Weapons
""                     	 "double sword"         	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .Weapons

# Laboratory stuff
""                     	 "beaker"               	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "large beaker"         	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "mesh"                 	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "strainer"             	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "scale"                	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "lens"                 	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "battery"              	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "test-tube"            	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "large battery"        	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "empty vial"           	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "test-tube holder"     	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "stirring rod"         	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "laboratory balance"   	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "crucible"             	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "crucible tongs"       	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "filter paper"         	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "flask"                	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "filter flask"         	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "pipet"                	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "buret"                	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "ring stand"           	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "double buret clamp"   	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "mortar/pestle"        	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "evaporating dish"     	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "flame spreader"       	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "burner lighter"       	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "utility clamps"       	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "separatory funnel"    	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "reagent bottle"       	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "graduated cylinder"   	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "petri dish"           	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "rubber stopper"       	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "thermometer"          	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "Buchner funnel"       	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem
""                     	 "Erlenmeyer flask"     	 ' ' 	                        -  	        - 	 -        	 -   	 - 	 - 	 .LaboratoryItem

# Workshop stuff
#"sparkling_heart"      	 "sparkling heart"      	 '©' 	                        -  	 0xcacbca 	 -        	 -   	 - 	 - 	 .WRK_CompA
#"sparkling_wings"      	 "sparkling wings"      	 '©' 	                        -  	 0xcacbca 	 -        	 -   	 - 	 - 	 .WRK_CompA
#"sparkling_muscles"    	 "sparkling muscles"    	 '©' 	                        -  	 0xcacbca 	 -        	 -   	 - 	 - 	 .WRK_CompA
"sparkling_guts"       	 "sparkling guts"       	 '©' 	                        -  	 0xcacbca 	 -        	 -   	 - 	 - 	 .WRK_CompA
"sparkling_nerves"     	 "sparkling nerves"     	 '©' 	                        -  	 0xcacbca 	 -        	 -   	 - 	 - 	 .WRK_CompA
"sparkling_glands"     	 "sparkling gland"      	 '©' 	                        -  	 0xcacbca 	 -        	 -   	 - 	 - 	 .WRK_CompA
"sparkling_stinger"    	 "sparkling stinger"    	 '©' 	                        -  	 0xcacbca 	 -        	 -   	 - 	 - 	 .WRK_CompA
"sparkling_shell"      	 "sparkling shell"      	 '©' 	                        -  	 0xcacbca 	 -        	 -   	 - 	 - 	 .WRK_CompA

"small_fountain"       	 "small fountain"       	 '¶' 	                        -  	 0xa4cfff 	 -        	 -   	 - 	 -

# Statues
"pyrite_statue"        	 "pyrite statue"        	 '☺' 	                        -  	 0xfff720 	 -        	 nay 	 - 	 - 	 .Statue
"realgar_statue"       	 "realgar statue"       	 '☺' 	                        -  	 0xff343f 	 -        	 nay 	 - 	 - 	 .Statue
"iron_statue"          	 "iron statue"          	 '☹' 	                        -  	 0xcacad2 	 -        	 nay 	 - 	 - 	 .Statue
"sodalite_statue"      	 "sodalite statue"      	 '☺' 	                        -  	 0xa4cfff 	 -        	 nay 	 - 	 - 	 .Statue
"hematite_statue"      	 "hematite statue"      	 '☺' 	                        -  	 0xff7f70 	 -        	 nay 	 - 	 - 	 .Statue
"fluorite_statue"      	 "fluorite statue"      	 '☺' 	                        -  	 0x3faf30 	 -        	 nay 	 - 	 - 	 .Statue

# Smithing stuff
#
# TODO: remove this?
"chain"                	 "chain"                	 '§' 	                        -  	 0xe0e0ff 	 -        	 nay 	 - 	 - 	               - 	 yea

"table"                	 "table"                	 '⊺' 	             .S_O_P_Table  	 0xffffff 	 -        	 nay 	 - 	10
"bed"                  	 "bed"                  	 'Θ' 	               .S_O_P_Bed  	 0xdaa520 	 -        	 -   	0.6	30
"wood_table"           	 "table"                	 '⊺' 	             .S_O_P_Table  	 0xdaa520 	 -        	 nay 	 - 	30
"desk"                 	 "desk"                 	 '⊺' 	              .S_O_P_Desk  	 0xb0c4de 	 -        	 nay 	 - 	30
"table_a"              	 "table"                	 '⊺' 	              .S_O_TableA  	 0xdaa520 	 -        	 nay 	 - 	30
"table_b"              	 "table"                	 '⊺' 	              .S_O_TableB  	 0xdaa520 	 -        	 nay 	 - 	30
"table_c"              	 "table"                	 '⊺' 	              .S_O_TableC  	 0xdaa520 	 -        	 nay 	 - 	30
"table_d"              	 "table"                	 '⊺' 	              .S_O_TableD  	 0xdaa520 	 -        	 nay 	 - 	30

# chairs ⑁
"wood_chair"           	 "chair"                	 'ⅎ' 	             .S_O_P_Chair  	 0xdaa520 	 -        	 yea 	 - 	30
"chair_a"              	 "chair"                	 'ⅎ' 	              .S_O_ChairA  	 0xdaa520 	 -        	 yea 	 - 	30
"chair_b"              	 "chair"                	 'ⅎ' 	              .S_O_ChairB  	 0xdaa520 	 -        	 yea 	 - 	30
"sofa_a"               	 "sofa"                 	 'ⅎ' 	             .S_O_P_SofaA  	 0x77ffd4 	 -        	 nay 	 - 	30
"sofa_b"               	 "sofa"                 	 'ⅎ' 	             .S_O_P_SofaB  	 0x77ffd4 	 -        	 nay 	 - 	30
"sofa_c"               	 "sofa"                 	 'ⅎ' 	             .S_O_P_SofaC  	 0x77ffd4 	 -        	 nay 	 - 	30

"cabinet_a"            	 "cabinet"              	 'π' 	            .S_O_StorageA  	 0xdaa520 	 -        	 nay 	 - 	10
"cabinet_b"            	 "cabinet"              	 'π' 	            .S_O_StorageB  	 0xdaa520 	 -        	 nay 	 - 	10
"cabinet_c"            	 "cabinet"              	 'π' 	            .S_O_StorageC  	 0xdaa520 	 -        	 nay 	 - 	10
"cabinet_d"            	 "cabinet"              	 'π' 	            .S_O_StorageD  	 0xdaa520 	 -        	 nay 	 - 	10
"chest"                	 "chest"                	 'æ' 	              .S_O_CrateA  	 0xb0c4de 	 -        	 nay 	 - 	10
"crate_a"              	 "crate"                	 'æ' 	              .S_O_CrateA  	 0xdaa520 	 -        	 nay 	 - 	10
"crate_b"              	 "crate"                	 'æ' 	              .S_O_CrateB  	 0xdaa520 	 -        	 nay 	 - 	10
"crate_c"              	 "crate"                	 'æ' 	              .S_O_CrateC  	 0xdaa520 	 -        	 nay 	 - 	10
"crate_d"              	 "crate"                	 'æ' 	              .S_O_CrateD  	 0xdaa520 	 -        	 nay 	 - 	10
"pot"                  	 "pot"                  	 'æ' 	                 .S_O_Pot  	 0xb0c4de 	 -        	 nay 	 -
"desecrated_coffin"    	 "desecrated coffin"    	 'æ' 	            .S_O_P_Coffin  	 0xffffff 	 -        	 nay 	 -

"sink"                 	 "sink"                 	 '⊺' 	              .S_O_P_Sink  	 0xb0c4de 	 -        	 nay 	 - 	30
"stove"                	 "stove"                	 '⊺' 	             .S_O_P_Stove  	 0xb0c4de 	 -        	 nay 	 - 	30

"turbine"              	 "turbine"              	 '◴' 	                        -  	 0xffd700 	 -        	 nay 	 - 	10
"gearbox"              	 "gearbox"              	 '■' 	                        -  	 0xffffff 	 -        	 nay 	 - 	10
"power_switch"         	 "power switch"         	 '♥' 	                        -  	 0xffffff 	 -        	 nay 	 - 	10
"control_panel"        	 "control panel"        	 '⌨' 	      .S_O_P_ControlPanel  	 0xffffff 	 -        	 nay 	 - 	10
"small_transformer"    	 "transformer"          	 '■' 	                        -  	 0xffe5d3 	 -        	 nay 	 - 	10
"large_transformer"    	 "transformer"          	 'ö' 	                        -  	 0xffe5d3 	 -        	 nay 	 - 	10
"switching_station"    	 "switching station"    	 '⊡' 	  .S_O_P_SwitchingStation  	 0xffaf9a 	 -        	 nay 	 - 	10
"fuel_burner"          	 "fuel burner"          	 '#' 	                        -  	 0xffa0a0 	 -        	 nay 	 - 	20
"steel_gas_reservoir"  	 "steel gas reservoir"  	 '■' 	                        -  	 0xd7d7ff 	 -        	 nay
"steel_pin"            	 "steel pin"            	 '*' 	                        -  	 0xa6c2d4 	 -        	 -
"alrm_antenna"         	 "alarm antenna"        	 '■' 	                        -  	 0xffb887 	 -        	 nay 	 - 	10
"alrm_platform"        	 "alarm base"           	 '■' 	                        -  	 0x3a1800 	 -        	 nay 	 - 	10

# capacitor array
#"capacitor_discharger" 	 "capacitor discharger" 	 '■' 	                        -  	 0xb7b7ef 	 -        	 nay
#"discharger_vane"      	 "discharger vane"      	 '|' 	                        -  	 0xb7b7ef 	 -        	 nay

# recharging station
#"antenna"              	 "antenna"              	 '▂' 	                        -  	 0x90a3b7 	 -        	 nay 	 - 	20
#"battery_pack"         	 "battery pack"         	 'Ÿ' 	                        -  	 0x90a3b7 	 -        	 nay 	 - 	 - 	 .Laboratory

# PRI power station
"battery_pack2"        	 "battery pack"         	 '⊠' 	                        -  	 0x90a3b7 	 -        	 nay 	 - 	 - 	 .Laboratory

# stalker station
#"antenna_controller"   	 "control antenna"      	 '▌' 	                        -  	 0x90b7a3 	 -        	 nay 	 - 	10

# unused?
#"antenna_tip"          	 "antenna tip"          	 '´' 	                        -  	 0x90a3b7 	 -        	 nay 	 - 	 - 	 .Laboratory

# workshop/lab
"alch_shelf_t1"        	 "shelf"                	 '≡' 	                        -  	 0xbfab8f 	 0x33291a 	 nay 	 - 	10
"alch_shelf_t2"        	 "shelf"                	 '≡' 	                        -  	 0x9e8664 	 0x33291a 	 nay 	 - 	10
"alch_shelf_t3"        	 "shelf"                	 '≡' 	                        -  	 0x806604 	 0x33291a 	 nay 	 - 	10
"alch_table_u_t1"      	 "table"                	 '▀' 	                        -  	 0xbfab8f 	 -        	 nay 	 - 	10
"alch_table_u_t2"      	 "table"                	 '▀' 	                        -  	 0x9e8664 	 -        	 nay 	 - 	10
"alch_table_d_t1"      	 "table"                	 '▄' 	                        -  	 0xbfab8f 	 -        	 nay 	 - 	10
"alch_table_d_t2"      	 "table"                	 '▄' 	                        -  	 0x9e8664 	 -        	 nay 	 - 	10
"alch_table_l_t1"      	 "table"                	 '▌' 	                        -  	 0xbfab8f 	 -        	 nay 	 - 	10
"alch_table_l_t2"      	 "table"                	 '▌' 	                        -  	 0x9e8664 	 -        	 nay 	 - 	10
"alch_table_r_t1"      	 "table"                	 '▐' 	                        -  	 0xbfab8f 	 -        	 nay 	 - 	10 
"alch_table_r_t2"      	 "table"                	 '▐' 	                        -  	 0x9e8664 	 -        	 nay 	 - 	10
"alch_table_r_t3"      	 "table"                	 '▐' 	                        -  	 0x806640 	 -        	 nay 	 - 	10
"fire_extinguisher"    	 "fire extinguisher"    	 '♣' 	                        -  	 0x806640 	 -        	 nay 	 - 	10
"whiteboard_r"         	 "whiteboard"           	 '▐' 	                        -  	 0x888888 	 -        	 nay 	 - 	10 
"alch_frame_n1s1e2"    	 "frame"                	 '╞' 	                        -  	 0x9e8664 	 -        	 nay 	 - 	10
"alch_frame_n1s1w2"    	 "frame"                	 '╡' 	                        -  	 0x9e8664 	 -        	 nay 	 - 	10
"alch_frame_s2e1w1"    	 "frame"                	 '╥' 	                        -  	 0x9e8664 	 -        	 nay 	 - 	10
"alch_frame_n2e1w1"    	 "frame"                	 '╨' 	                        -  	 0x9e8664 	 -        	 nay 	 - 	10
"alch_frame_s1e1"      	 "frame"                	 '┌' 	                        -  	 0x9e8664 	 -        	 nay 	 - 	10
"alch_frame_n1s1"      	 "frame"                	 '│' 	                        -  	 0x9e8664 	 -        	 nay 	 - 	10
"alch_frame_n1e1"      	 "frame"                	 '└' 	                        -  	 0x9e8664 	 -        	 nay 	 - 	10
"alch_frame_e1w1"      	 "frame"                	 '─' 	                        -  	 0x9e8664 	 -        	 nay 	 - 	10
"alch_frame_n1w1"      	 "frame"                	 '┘' 	                        -  	 0x9e8664 	 -        	 nay 	 - 	10
"alch_frame_s1w1"      	 "frame"                	 '┐' 	                        -  	 0x9e8664 	 -        	 nay 	 - 	10
"alch_frame_blk1"      	 "frame"                	 '▓' 	                        -  	 0x9e8664 	 -        	 nay 	 - 	10
"broken_turtle"        	 "broken lead turtle"   	 't' 	                        -  	 0xaaaaaa 	 -        	 nay 	 - 	10
"broken_emberling"     	 "broken emberling"     	 'e' 	                        -  	 0xaaaaaa 	 -        	 nay 	 - 	10
"broken_sparkling"     	 "broken sparkling"     	 'p' 	                        -  	 0xaaaaaa 	 -        	 nay 	 - 	10
"broken_hornet"        	 "broken hornet"        	 'ÿ' 	                        -  	 0xaaaaaa 	 -        	 nay 	 - 	10

# Sparkling workstation
"tool_rack"            	 "tool rack"            	 '{' 	                        -  	 0xaaaaaa 	 -        	 nay 	 - 	10
"hydraulic_pump"       	 "hydraulic pump"       	 '≡' 	                        -  	 0xaaaaaa 	 -        	 nay 	 - 	10

# lab
"chamber_s1e1"         	 "chamber"              	 '┌' 	                        -  	 0x999999 	 -        	 nay 	 - 	 -
"chamber_n1s1"         	 "chamber"              	 '│' 	                        -  	 0x999999 	 -        	 nay 	 - 	 -
"chamber_n1e1"         	 "chamber"              	 '└' 	                        -  	 0x999999 	 -        	 nay 	 - 	 -
"chamber_e1w1"         	 "chamber"              	 '─' 	                        -  	 0x999999 	 -        	 nay 	 - 	 -
"chamber_n1w1"         	 "chamber"              	 '┘' 	                        -  	 0x999999 	 -        	 nay 	 - 	 -
"chamber_s1w1"         	 "chamber"              	 '┐' 	                        -  	 0x999999 	 -        	 nay 	 - 	 -
"chamber_n1e1w1"       	 "chamber"              	 '┴' 	                        -  	 0x999999 	 -        	 nay 	 - 	 -
"chamber_p_e1w1"       	 "paralysis system"     	 '─' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"chamber_p_s1w1"       	 "paralysis system"     	 '┐' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"chamber_p_s1e1"       	 "paralysis system"     	 '┌' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"chamber_p_n1s1e1w1"   	 "paralysis system"     	 '┼' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"chamber_p_n1s1"       	 "paralysis system"     	 '│' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"chamber_p_n1e1"       	 "paralysis system"     	 '└' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"chamber_p_n1w1"       	 "paralysis system"     	 '┘' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"chamber_p_n1e1w1"     	 "paralysis system"     	 '┴' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"chamber_p_s1e1w1"     	 "paralysis system"     	 '┬' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"chamber_p_n2e1w1"     	 "paralysis system"     	 '╨' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"chamber_p_s2e1w1"     	 "paralysis system"     	 '╥' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"chamber_p_n1s1e2"     	 "paralysis system"     	 '╞' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"chamber_p_n1s1w2"     	 "paralysis system"     	 '╡' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"chamber_p_n2s2w1e1"   	 "paralysis system"     	 '╫' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"chamber_p_n2s2"       	 "paralysis system"     	 '║' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"chamber_p_n1s1w2e1"   	 "paralysis system"     	 '╪' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"chamber_p_n1s1w1"     	 "paralysis system"     	 '┤' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"eldr_junction"        	 "eldritch junction"    	 '╬' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"eldr_transmitter_1"   	 "eldritch transmitter" 	 '/' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"eldr_transmitter_2"   	 "eldritch transmitter" 	'\\' 	                        -  	 0x008c00 	 -        	 nay 	 - 	 -
"generator_green"      	 "eldritch generator"   	 '▒' 	                        -  	 0x008c00 	 -        	 nay 	 - 	10
"generator_blue"       	 "eldritch generator"   	 '▒' 	                        -  	 0x006cd9 	 -        	 nay 	 - 	10
"generator_red"        	 "eldritch generator"   	 '▒' 	                        -  	 0xff0000 	 -        	 nay 	 - 	10
"generator_magenta"    	 "eldritch generator"   	 '▒' 	                        -  	 0xff33ff 	 -        	 nay 	 - 	10
"eldr_targeting"       	 "eldritch targeter"    	 '█' 	                        -  	 0x008c00 	 -        	 nay 	 - 	10

"compact_turbine"      	 "compact turbine"      	 'Ä' 	       .S_G_P_MiscLabMach  	 0xffe4e1 	 -        	 nay 	 - 	10 	 .Laboratory
"centrifuge"           	 "centrifuge"           	 '⊜' 	       .S_G_P_MiscLabMach  	 0xffe4e1 	 -        	 nay 	 - 	 - 	 .Laboratory
"xray_appar"           	 "x-ray machine"        	 '‡' 	       .S_G_P_MiscLabMach  	 0xa8ffa8 	 -        	 nay 	 - 	 - 	 .Laboratory
"water_purifier"       	 "water purifier"       	 '⊝' 	       .S_G_P_MiscLabMach  	 0xe0ffff 	 -        	 nay 	 - 	 - 	 .Laboratory
"distiller"            	 "fractional distiller" 	 '∓' 	       .S_G_P_MiscLabMach  	 0xe6e6fa 	 -        	 nay 	 - 	 - 	 .Laboratory
"laser_etcher"         	 "laser etcher"         	 '⊎' 	       .S_G_P_MiscLabMach  	 0xfff0f5 	 -        	 nay 	 - 	 - 	 .Laboratory
"simp_distill_appar"   	 "distiller"            	 '∔' 	       .S_G_P_MiscLabMach  	 0xd0e4fe 	 -        	 nay 	 - 	 - 	 .Laboratory
"b_burner"             	 "bunsen burner"        	 '⊼' 	       .S_G_P_MiscLabMach  	 0xffffe0 	 -        	 nay 	 - 	20 	 .Laboratory
"t_burner"             	 "tirrill burner"       	 '⊼' 	       .S_G_P_MiscLabMach  	 0xffffe0 	 -        	 nay 	 - 	20 	 .Laboratory
"microscope"           	 "microscope"           	 '†' 	       .S_G_P_MiscLabMach  	 0xffeaca 	 -        	 nay 	 - 	 - 	 .Laboratory
"calorimeter"          	 "calorimeter"          	 '⊝' 	       .S_G_P_MiscLabMach  	 0xf5f5dc 	 -        	 nay 	 - 	20 	 .Laboratory
"vacuum_chmbr"         	 "vacuum chamber"       	 '⊜' 	       .S_G_P_MiscLabMach  	 0xffefdf 	 -        	 nay 	 - 	 - 	 .Laboratory

"nuclear_core"         	 "orthire furnace"      	 '≡' 	                        -  	 0xffefdf 	 -        	 nay 	 - 	50

"low_wall_n2s2"        	 "low wall"             	 '║' 	                        -  	 0xefefef 	 -        	 nay 	 - 	 -
"low_wall_e2w2"        	 "low wall"             	 '═' 	                        -  	 0xefefef 	 -        	 nay 	 - 	 -
"low_wall_corner"      	 "low wall"             	 '○' 	                        -  	 0xefefef 	 -        	 nay 	 - 	 -

"wall_n1s1_slt"        	 "vangenite wall"       	 '┋' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_n1s1_slt2"       	 "vangenite wall"       	 '¦' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_n1s1e1w1"        	 "vangenite wall"       	 '╋' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_s1w1_thinw"      	 "vangenite wall"       	 '┒' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_n1w1_thinw"      	 "vangenite wall"       	 '┚' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_s1w1_thins"      	 "vangenite wall"       	 '┑' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_s1e1w1"          	 "vangenite wall"       	 '┳' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_n1e1w1"          	 "vangenite wall"       	 '┻' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_e1w1"            	 "vangenite wall"       	 '━' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_s1w1"            	 "vangenite wall"       	 '┓' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_n1s1w1"          	 "vangenite wall"       	 '┫' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_n1s1"            	 "vangenite wall"       	 '┃' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_n1s1e1"          	 "vangenite wall"       	 '┣' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_n1w1"            	 "vangenite wall"       	 '┛' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_n1e1"            	 "vangenite wall"       	 '┗' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_s1e1"            	 "vangenite wall"       	 '┏' 	                        -  	 0xe0f8f2 	 -        	 nay
"wall_e1w1_thine"      	 "vangenite wall"       	 '╾' 	                        -  	 0xe0f8f2 	 -        	 nay
