# vim: nowrap
#
# Spawn tables.
#

#"cleaner"              	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	  - 	  -
#"hauler"               	   - 	   - 	   5 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	  - 	  -

#
# monster id                   unused -8/Pri  -7/Pri  -6/Lab  -5/Sin  -5/Pri  -5/Smi  -4/Pri  -3/Vlt  -3/Sin   3/Lab2 3/Lab3  3/Hold -2/Pri  -1/Pri -1/Cry -1/Cry2 -1/Cry3
"ember_mage"              	 "" 	  15 	  15 	  15 	   - 	  15 	  10 	  10 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	  - 	  -
"bone_mage"               	 "" 	   - 	   - 	  15 	   - 	  15 	  10 	  10 	  10 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	  - 	  -
"spark_mage"              	 "" 	   - 	  15 	  15 	   - 	  15 	  10 	  10 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	  - 	  -

"recruit"                 	 "" 	   - 	   - 	   - 	   - 	  15 	   - 	  15 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	  - 	  -
"skeleton"                	 "" 	   - 	   - 	   - 	   - 	  15 	   - 	  15 	  15 	   - 	  15 	  15 	  15 	  15 	  15 	100 	100 	100
"war_olg"                 	 "" 	   - 	   - 	   - 	   - 	  10 	   - 	  20 	  25 	   - 	  25 	  25 	  25 	  30 	  30 	  - 	  - 	  -
"defender"                	 "" 	   - 	   - 	  10 	   - 	   - 	   - 	  10 	  10 	   - 	  10 	  10 	  10 	  10 	  10 	  - 	  - 	  -
"necromancer"             	 "" 	   - 	   - 	   - 	   - 	   - 	   - 	  10 	  15 	   - 	  15 	  15 	  15 	  10 	  20 	  5 	  5 	  5
"bloat"                   	 "" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  15 	   - 	  15 	  15 	  15 	  10 	  10 	 30 	 30 	 30
"skeletal_blademaster"    	 "" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  15 	   - 	  15 	  15 	  15 	  15 	  25 	 15 	 15 	 15
"death_knight"            	 "" 	   - 	   - 	   - 	   - 	   - 	   - 	  10 	  15 	   - 	  15 	  15 	  15 	  15 	  15 	 30 	 30 	 30
"warrior"                 	 "" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  15 	  25 	  - 	  - 	  -
"hunter"                  	 "" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  10 	   - 	  10 	  10 	  10 	  15 	  20 	  - 	  - 	  -

"death_mage"              	 "" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   5 	  10 	   - 	  20 	 20 	 20 	 20
"brimstone_mage"          	 "" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   5 	  10 	  15 	  20 	  - 	  - 	  -
"lightning_mage"          	 "" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   5 	  10 	  15 	  20 	  - 	  - 	  -
"ancient_mage"            	 "" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   2 	   2 	  1 	  1 	  1
# monster id                   unused -8/Pri  -7/Pri  -6/Lab  -5/Sin  -5/Pri  -5/Smi  -4/Pri  -3/Vlt  -3/Sin   3/Lab2 3/Lab3  3/Hold -2/Pri  -1/Pri -1/Cry -1/Cry2 -1/Cry3
